estado,capital,lat,lon,fortalezas_zona,oportunidades_productivas
Amazonas,Puerto Ayacucho,5.6639,-67.6236,"Biodiversidad, turismo de naturaleza, saberes indígenas, ríos","Ecoturismo, cartografía comunitaria, agua segura, artesanía, bioconocimiento"
Anzoátegui,Barcelona,10.1362,-64.6862,"Pesca, costa, petróleo, turismo, comercio","Servicios costeros, mantenimiento, manufactura ligera, turismo, energía"
Apure,San Fernando de Apure,7.894,-67.473,"Ganadería, ríos, llanos, pesca fluvial","Cadenas ganaderas, alimentos, transporte fluvial, turismo llanero"
Aragua,Maracay,10.2469,-67.5958,"Industria, agricultura, turismo, educación técnica","Manufactura, agroprocesamiento, mantenimiento, logística, turismo"
Barinas,Barinas,8.6226,-70.2075,"Agricultura, ganadería, petróleo, piedemonte andino","Agroindustria, mantenimiento rural, energía, alimentos"
Bolívar,Ciudad Bolívar,8.1222,-63.5497,"Minería, hidroelectricidad, turismo, biodiversidad","Energía, turismo, metalmecánica, servicios ambientales"
Carabobo,Valencia,10.162,-68.0077,"Industria, manufactura, puerto, logística","Mecatrónica industrial, mantenimiento, logística, manufactura, calidad"
Cojedes,San Carlos,9.6612,-68.5827,"Agricultura, ganadería, producción alimentaria","Agroprocesamiento, emprendimiento rural, servicios técnicos"
Delta Amacuro,Tucupita,9.0622,-62.051,"Delta, ríos, pesca, biodiversidad","Pesca sostenible, transporte fluvial, ecoturismo, agua y saneamiento"
Distrito Capital,Caracas,10.4806,-66.9036,"Servicios, gobierno, universidades, economía urbana","Gobernanza, innovación social, servicios digitales, formación"
Falcón,Coro,11.4045,-69.6734,"Turismo, pesca, salinas, energía eólica, refinación","Turismo, servicios costeros, energía, alimentos, mantenimiento"
Guárico,San Juan de los Morros,9.9115,-67.3538,"Agricultura, ganadería, agua, cereales","Agroindustria, riego, alimentos, mecanización agrícola"
La Guaira,La Guaira,10.599,-66.9346,"Puerto, turismo, pesca, costa, logística","Servicios portuarios, turismo, pesca, agua potable, logística"
Lara,Barquisimeto,10.0678,-69.3474,"Comercio, agroindustria, artesanía, música","Agroprocesamiento, comercio, manufactura, industrias creativas"
Mérida,Mérida,8.5897,-71.1561,"Universidades, turismo andino, agricultura, ciencia","Turismo, agrotecnología, educación, servicios científicos"
Miranda,Los Teques,10.3445,-67.0433,"Agricultura, industria, servicios, costa","Servicios, agroindustria, turismo, tecnología comunitaria"
Monagas,Maturín,9.7457,-63.1832,"Petróleo, agricultura, ganadería, servicios","Energía, mantenimiento, agroindustria, formación técnica"
Nueva Esparta,La Asunción,11.0333,-63.8628,"Turismo, pesca, comercio, cultura insular","Turismo, servicios marítimos, pesca, gastronomía"
Portuguesa,Guanare,9.0418,-69.7421,"Agricultura, cereales, ganadería, agua","Agroindustria, mecanización, alimentos, cooperativas"
Sucre,Cumaná,10.4635,-64.1775,"Pesca, cacao, turismo, costa, cultura","Pesca, cacao, turismo, servicios costeros, alimentos"
Táchira,San Cristóbal,7.7669,-72.225,"Frontera, comercio, agricultura, manufactura","Logística fronteriza, agroindustria, comercio, mantenimiento"
Trujillo,Trujillo,9.3656,-70.4367,"Agricultura, café, turismo andino, agua","Café, turismo, agroprocesamiento, servicios rurales"
Yaracuy,San Felipe,10.3399,-68.7425,"Agricultura, cacao, frutas, turismo","Agroindustria, cacao, frutas, turismo ecológico"
Zulia,Maracaibo,10.6333,-71.6333,"Petróleo, gas, lago, ganadería, comercio","Energía, servicios lacustres, ganadería, logística, manufactura"
