codigo,competencia,descripcion
CG-01,Orientación al ciudadano y a la comunidad,"Convertir el talento técnico en servicio útil, ético y verificable para la comunidad."
CG-02,Comunicación efectiva,"Explicar ideas, prototipos y decisiones en lenguaje claro para actores técnicos y no técnicos."
CG-03,Trabajo en equipo,"Coordinar grupos de aprendizaje, producción, cooperación y transferencia de saberes."
CG-04,Iniciativa y creatividad,Proponer soluciones productivas desde recursos locales y problemas reales.
CG-05,Aprendizaje continuo,"Aprender, desaprender y actualizar capacidades según vocación y oportunidades del territorio."
CG-06,Responsabilidad y ética,"Actuar con compromiso, seguridad, transparencia y respeto a la comunidad y al ambiente."
CG-07,Orientación a resultados,"Convertir ideas en evidencias, beneficios, productos, servicios y medios de vida."
CG-08,Liderazgo comunitario,"Movilizar personas, alianzas, redes y recursos para desarrollo local sostenido."
CG-09,Planificación y organización,"Ordenar rutas de formación, producción, servicio, costos, cronogramas y responsables."
CG-10,Adaptabilidad y resiliencia,"Responder a cambios del entorno con aprendizaje, cooperación y mejora continua."
