fuente,aporte,url
Gaceta Oficial 38.924,Manual de competencias genéricas para cargos de carrera. Base para competencias blandas y gestión por competencias.,Documento suministrado por el usuario
ISO 30401 Knowledge Management,"Referencia para mapa de conocimiento, conocimiento organizacional y gestión sistemática del saber.",https://www.iso.org/standard/68683.html
ISO 37101 Sustainable Development in Communities,"Referencia para desarrollo sostenible, comunidades y gestión territorial.",https://www.iso.org/standard/61885.html
ISO 37120 City indicators,Indicadores de servicios urbanos y calidad de vida para monitoreo territorial.,https://www.iso.org/standard/68498.html
ILO Skills and Lifelong Learning,"Referencias de competencias, empleabilidad, medios de vida y aprendizaje permanente.",https://www.ilo.org/skills
UNESCO Futures of Education,"Educación, ciudadanía, transformación social y aprendizaje para futuros sostenibles.",https://www.unesco.org/en/futures-education
UNDP Sustainable Livelihoods,Enfoque de medios de vida y desarrollo territorial.,https://www.undp.org
FAO Rural livelihoods,"Medios de vida rurales, agricultura, pesca, alimentación y desarrollo local.",https://www.fao.org/rural-employment
Google Earth,"Monitoreo territorial, capas, puntos de interés, rutas y mapas locales.",https://earth.google.com/web/
Zenodo,"Repositorio abierto para informes, evidencias, datos, mapas y publicaciones con DOI.",https://zenodo.org
OpenAlex,Base abierta para investigación bibliométrica y vigilancia científica.,https://openalex.org
BiblioPangea / BiblioIntel / BiblioMap,"Ecosistema de investigación bibliométrica desarrollado por el equipo para lectura, mapas y vigilancia del conocimiento.",Ruta interna del equipo
