ct_codigo,ct,cg_codigo,cg,intensidad,justificacion
CT-01,Pesca y cadena fría,CG-01,Orientación al ciudadano y a la comunidad,Alta,"La práctica técnica Pesca y cadena fría fortalece Orientación al ciudadano y a la comunidad mediante proyectos reales, evidencia y servicio comunitario."
CT-01,Pesca y cadena fría,CG-02,Comunicación efectiva,Alta,"La práctica técnica Pesca y cadena fría fortalece Comunicación efectiva mediante proyectos reales, evidencia y servicio comunitario."
CT-01,Pesca y cadena fría,CG-03,Trabajo en equipo,Alta,"La práctica técnica Pesca y cadena fría fortalece Trabajo en equipo mediante proyectos reales, evidencia y servicio comunitario."
CT-01,Pesca y cadena fría,CG-04,Iniciativa y creatividad,Alta,"La práctica técnica Pesca y cadena fría fortalece Iniciativa y creatividad mediante proyectos reales, evidencia y servicio comunitario."
CT-01,Pesca y cadena fría,CG-05,Aprendizaje continuo,Media,"La práctica técnica Pesca y cadena fría fortalece Aprendizaje continuo mediante proyectos reales, evidencia y servicio comunitario."
CT-01,Pesca y cadena fría,CG-06,Responsabilidad y ética,Media,"La práctica técnica Pesca y cadena fría fortalece Responsabilidad y ética mediante proyectos reales, evidencia y servicio comunitario."
CT-01,Pesca y cadena fría,CG-07,Orientación a resultados,Alta,"La práctica técnica Pesca y cadena fría fortalece Orientación a resultados mediante proyectos reales, evidencia y servicio comunitario."
CT-01,Pesca y cadena fría,CG-08,Liderazgo comunitario,Media,"La práctica técnica Pesca y cadena fría fortalece Liderazgo comunitario mediante proyectos reales, evidencia y servicio comunitario."
CT-01,Pesca y cadena fría,CG-09,Planificación y organización,Alta,"La práctica técnica Pesca y cadena fría fortalece Planificación y organización mediante proyectos reales, evidencia y servicio comunitario."
CT-01,Pesca y cadena fría,CG-10,Adaptabilidad y resiliencia,Media,"La práctica técnica Pesca y cadena fría fortalece Adaptabilidad y resiliencia mediante proyectos reales, evidencia y servicio comunitario."
CT-02,Turismo local y servicios de experiencia,CG-01,Orientación al ciudadano y a la comunidad,Alta,"La práctica técnica Turismo local y servicios de experiencia fortalece Orientación al ciudadano y a la comunidad mediante proyectos reales, evidencia y servicio comunitario."
